Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
14960232,1682,7576,02/27/2022 15:11,Front St E / Bayview Avenue,7427,02/27/2022 15:39,Northern Dancer Blvd / Lake Shore Blvd E,1154,Annual Member
14960233,776,7408,02/27/2022 15:11,University Ave / Armoury St,7000,02/27/2022 15:24,Fort York  Blvd / Capreol Ct,362,Casual Member
14960234,280,7347,02/27/2022 15:11,Regal Rd / Dufferin St,7526,02/27/2022 15:16,Bartlett Parkette,3830,Annual Member
14960235,689,7035,02/27/2022 15:11,Queen St W / Ossington Ave,7324,02/27/2022 15:23,King St W / Charlotte St (West Side),590,Casual Member
14960236,445,7192,02/27/2022 15:12,Harbord St / Clinton St,7007,02/27/2022 15:19,College St / Huron St,4820,Annual Member
14960237,410,7032,02/27/2022 15:12,Augusta Ave / Dundas St W,7298,02/27/2022 15:18,Bathurst St / Adelaide St W,5050,Casual Member
14960238,806,7333,02/27/2022 15:12,King St E / Victoria St,7372,02/27/2022 15:25,Adelaide St W / Portland St,1266,Casual Member
14960239,1609,7575,02/27/2022 15:12,Bayview Ave / Lawren Harris Square,7427,02/27/2022 15:39,Northern Dancer Blvd / Lake Shore Blvd E,6003,Annual Member
14960240,556,7467,02/27/2022 15:12,Lower Simcoe St / Bremner Blvd,7255,02/27/2022 15:21,Stewart St / Bathurst St  - SMART,5284,Annual Member
14960241,350,7579,02/27/2022 15:13,Glebe Rd W / Yonge St,7381,02/27/2022 15:18,Yonge St / Orchard View Blvd,2451,Annual Member
14960242,375,7104,02/27/2022 15:14,King St E / River St,7373,02/27/2022 15:20,George St / King St E,6901,Casual Member
14960243,66,7171,02/27/2022 15:14,Ontario Place Blvd / Lake Shore Blvd W (East),7171,02/27/2022 15:15,Ontario Place Blvd / Lake Shore Blvd W (East),5758,Annual Member
14960244,707,7549,02/27/2022 15:14,439 Sherbourne St,7385,02/27/2022 15:26,20 Charles St E,2661,Annual Member
14960245,966,7163,02/27/2022 15:15,Yonge St / Wood St,7677,02/27/2022 15:31,1303 Yonge St - SMART,5356,Annual Member
14960246,738,7167,02/27/2022 15:15,Queen St E / George St (Moss Park),7031,02/27/2022 15:27,Jarvis St / Isabella St,2289,Casual Member
14960247,902,7322,02/27/2022 15:15,King St W / Brant St,7199,02/27/2022 15:31,College St / Markham St,6168,Annual Member
14960248,585,7467,02/27/2022 15:16,Lower Simcoe St / Bremner Blvd,7263,02/27/2022 15:26,Walton St / Elizabeth St - SMART,4285,Annual Member
14960249,755,7398,02/27/2022 15:16,York St / Lakeshore St W - South,7235,02/27/2022 15:28,Bay St / College St (West Side) - SMART,4378,Casual Member
14960250,555,7467,02/27/2022 15:16,Lower Simcoe St / Bremner Blvd,7211,02/27/2022 15:25,Fort York Blvd / Garrison Rd,6146,Casual Member
14960251,465,7102,02/27/2022 15:16,Nelson St / Duncan St,7161,02/27/2022 15:24,Beverley St / College St,1117,Annual Member
14960252,988,7502,02/27/2022 15:16,University Ave / College St (East),7420,02/27/2022 15:32,Barton St / Howland St - SMART,5880,Annual Member
